Table Number,Table Name,Code,Shortened Description
Table 5.03,Colon Surgery,45.92,SM BOWEL-RECT STUMP ANAS
Table 5.03,Colon Surgery,45.93,SMALL-TO-LARGE BOWEL NEC
Table 5.03,Colon Surgery,45.94,LG-TO-LG BOWEL ANASTOM
Table 5.03,Colon Surgery,45.95,ANAL ANASTOMOSIS
Table 5.03,Colon Surgery,46.04,RESECT EXT SEG LG BOWEL
Table 5.03,Colon Surgery,46.75,SUTURE LG BOWEL LACERAT
Table 5.03,Colon Surgery,46.76,CLOSE LG BOWEL FISTULA
Table 5.03,Colon Surgery,46.91,MYOTOMY OF SIGMOID COLON
Table 5.03,Colon Surgery,46.92,MYOTOMY OF COLON NEC
Table 5.03,Colon Surgery,46.94,REVISE LG BOWEL ANASTOM
Table 5.03,Colon Surgery,48.50,ABDPERNEAL RES RECTM NOS
Table 5.03,Colon Surgery,48.61,TRANSSAC RECTOSIGMOIDECT
Table 5.03,Colon Surgery,48.62,ANT RECT RESECT W COLOST
Table 5.03,Colon Surgery,48.63,ANTERIOR RECT RESECT NEC
Table 5.03,Colon Surgery,48.64,POSTERIOR RECT RESECTION
Table 5.03,Colon Surgery,48.65,DUHAMEL RECTAL RESECTION
Table 5.03,Colon Surgery,48.69,RECTAL RESECTION NEC
Table 5.04,Hip Arthroplasty,81.51,TOTAL HIP REPLACEMENT
Table 5.04,Hip Arthroplasty,81.52,PARTIAL HIP REPLACEMENT
Table 5.05,Knee Arthroplasty,81.54,TOTAL KNEE REPLACEMENT
Table 5.06,Abdominal Hysterectomy,68.49,TOTAL ABD HYST NEC/NOS
Table 5.06,Abdominal Hysterectomy,68.69,RADICAL ABD HYST NEC/NOS
Table 5.07,Vaginal Hysterectomy,68.51,LAP AST VAG HYSTERECTOMY
Table 5.07,Vaginal Hysterectomy,68.59,VAG HYSTERECTOMY NEC/NOS
Table 5.07,Vaginal Hysterectomy,68.79,RADICAL VAG HYST NEC/NOS
Table 5.08,Vascular Surgery,38.14,ENDARTERECTOMY OF AORTA
Table 5.08,Vascular Surgery,38.16,ABDOMINAL ENDARTERECTOMY
Table 5.08,Vascular Surgery,38.34,AORTA RESECTION & ANAST
Table 5.08,Vascular Surgery,38.36,ABD VESSEL RESECT/ANAST
Table 5.08,Vascular Surgery,38.37,ABD VEIN RESECT & ANAST
Table 5.08,Vascular Surgery,38.44,RESECT ABDM AORTA W REPL
Table 5.08,Vascular Surgery,38.48,LEG ARTERY RESEC W REPLA
Table 5.08,Vascular Surgery,38.49,LEG VEIN RESECT W REPLAC
Table 5.08,Vascular Surgery,38.64,EXCISION OF AORTA
Table 5.08,Vascular Surgery,39.25,AORTA-ILIAC-FEMOR BYPASS
Table 5.08,Vascular Surgery,39.26,INTRA-ABDOMIN SHUNT NEC
Table 5.08,Vascular Surgery,39.29,VASC SHUNT & BYPASS NEC
Table 5.09,Infection,001.0,CHOLERA D/T VIB CHOLERAE
Table 5.09,Infection,001.1,CHOLERA D/T VIB EL TOR
Table 5.09,Infection,001.9,CHOLERA NOS
Table 5.09,Infection,002.0,TYPHOID FEVER
Table 5.09,Infection,002.1,PARATYPHOID FEVER A
Table 5.09,Infection,002.2,PARATYPHOID FEVER B
Table 5.09,Infection,002.3,PARATYPHOID FEVER C
Table 5.09,Infection,002.9,PARATYPHOID FEVER NOS
Table 5.09,Infection,003.0,SALMONELLA ENTERITIS
Table 5.09,Infection,003.1,SALMONELLA SEPTICEMIA
Table 5.09,Infection,003.20,LOCAL SALMONELLA INF NOS
Table 5.09,Infection,003.21,SALMONELLA MENINGITIS
Table 5.09,Infection,003.22,SALMONELLA PNEUMONIA
Table 5.09,Infection,003.23,SALMONELLA ARTHRITIS
Table 5.09,Infection,003.24,SALMONELLA OSTEOMYELITIS
Table 5.09,Infection,003.29,LOCAL SALMONELLA INF NEC
Table 5.09,Infection,003.8,SALMONELLA INFECTION NEC
Table 5.09,Infection,003.9,SALMONELLA INFECTION NOS
Table 5.09,Infection,004.0,SHIGELLA DYSENTERIAE
Table 5.09,Infection,004.1,SHIGELLA FLEXNERI
Table 5.09,Infection,004.2,SHIGELLA BOYDII
Table 5.09,Infection,004.3,SHIGELLA SONNEI
Table 5.09,Infection,004.8,SHIGELLA INFECTION NEC
Table 5.09,Infection,004.9,SHIGELLOSIS NOS
Table 5.09,Infection,006.0,AC AMEBIASIS W/O ABSCESS
Table 5.09,Infection,006.1,CHR AMEBIASIS W/O ABSCES
Table 5.09,Infection,006.2,AMEBIC NONDYSENT COLITIS
Table 5.09,Infection,006.3,AMEBIC LIVER ABSCESS
Table 5.09,Infection,006.4,AMEBIC LUNG ABSCESS
Table 5.09,Infection,006.5,AMEBIC BRAIN ABSCESS
Table 5.09,Infection,006.6,AMEBIC SKIN ULCERATION
Table 5.09,Infection,006.8,AMEBIC INFECTION NEC
Table 5.09,Infection,006.9,AMEBIASIS NOS
Table 5.09,Infection,007.1,GIARDIASIS
Table 5.09,Infection,008.00,INTEST INFEC E COLI NOS
Table 5.09,Infection,008.01,INT INF E COLI ENTRPATH
Table 5.09,Infection,008.02,INT INF E COLI ENTRTOXGN
Table 5.09,Infection,008.03,INT INF E COLI ENTRNVSV
Table 5.09,Infection,008.04,INT INF E COLI ENTRHMRG
Table 5.09,Infection,008.09,INT INF E COLI SPCF NEC
Table 5.09,Infection,008.1,ARIZONA ENTERITIS
Table 5.09,Infection,008.2,AEROBACTER ENTERITIS
Table 5.09,Infection,008.3,PROTEUS ENTERITIS
Table 5.09,Infection,008.41,STAPHYLOCOCC ENTERITIS
Table 5.09,Infection,008.42,PSEUDOMONAS ENTERITIS
Table 5.09,Infection,008.43,INT INFEC CAMPYLOBACTER
Table 5.09,Infection,008.44,INT INF YRSNIA ENTRCLTCA
Table 5.09,Infection,008.45,INT INF CLSTRDIUM DFCILE
Table 5.09,Infection,008.46,INTES INFEC OTH ANEROBES
Table 5.09,Infection,008.47,INT INF OTH GRM NEG BCTR
Table 5.09,Infection,008.49,BACTERIAL ENTERITIS NEC
Table 5.09,Infection,008.5,BACTERIAL ENTERITIS NOS
Table 5.09,Infection,008.8,VIRAL ENTERITIS NOS
Table 5.09,Infection,009.0,INFECTIOUS ENTERITIS NOS
Table 5.09,Infection,009.1,ENTERITIS OF INFECT ORIG
Table 5.09,Infection,009.2,INFECTIOUS DIARRHEA NOS
Table 5.09,Infection,009.3,DIARRHEA OF INFECT ORIG
Table 5.09,Infection,020.0,BUBONIC PLAGUE
Table 5.09,Infection,020.1,CELLULOCUTANEOUS PLAGUE
Table 5.09,Infection,020.2,SEPTICEMIC PLAGUE
Table 5.09,Infection,020.3,PRIMARY PNEUMONIC PLAGUE
Table 5.09,Infection,020.4,SECONDARY PNEUMON PLAGUE
Table 5.09,Infection,020.5,PNEUMONIC PLAGUE NOS
Table 5.09,Infection,020.8,OTHER TYPES OF PLAGUE
Table 5.09,Infection,020.9,PLAGUE NOS
Table 5.09,Infection,021.0,ULCEROGLANDUL TULAREMIA
Table 5.09,Infection,021.1,ENTERIC TULAREMIA
Table 5.09,Infection,021.2,PULMONARY TULAREMIA
Table 5.09,Infection,021.3,OCULOGLANDULAR TULAREMIA
Table 5.09,Infection,021.8,TULAREMIA NEC
Table 5.09,Infection,021.9,TULAREMIA NOS
Table 5.09,Infection,022.0,CUTANEOUS ANTHRAX
Table 5.09,Infection,022.1,PULMONARY ANTHRAX
Table 5.09,Infection,022.2,GASTROINTESTINAL ANTHRAX
Table 5.09,Infection,022.3,ANTHRAX SEPTICEMIA
Table 5.09,Infection,022.8,OTHER ANTHRAX MANIFEST
Table 5.09,Infection,022.9,ANTHRAX NOS
Table 5.09,Infection,023.0,BRUCELLA MELITENSIS
Table 5.09,Infection,023.1,BRUCELLA ABORTUS
Table 5.09,Infection,023.2,BRUCELLA SUIS
Table 5.09,Infection,023.3,BRUCELLA CANIS
Table 5.09,Infection,023.8,BRUCELLOSIS NEC
Table 5.09,Infection,023.9,BRUCELLOSIS NOS
Table 5.09,Infection,024,GLANDERS
Table 5.09,Infection,025,MELIOIDOSIS
Table 5.09,Infection,026.0,SPIRILLARY FEVER
Table 5.09,Infection,026.1,STREPTOBACILLARY FEVER
Table 5.09,Infection,026.9,RAT-BITE FEVER NOS
Table 5.09,Infection,027.0,LISTERIOSIS
Table 5.09,Infection,027.1,ERYSIPELOTHRIX INFECTION
Table 5.09,Infection,027.2,PASTEURELLOSIS
Table 5.09,Infection,027.8,ZOONOTIC BACT DIS NEC
Table 5.09,Infection,027.9,ZOONOTIC BACT DIS NOS
Table 5.09,Infection,030.0,LEPROMATOUS LEPROSY
Table 5.09,Infection,030.1,TUBERCULOID LEPROSY
Table 5.09,Infection,030.2,INDETERMINATE LEPROSY
Table 5.09,Infection,030.3,BORDERLINE LEPROSY
Table 5.09,Infection,030.8,LEPROSY NEC
Table 5.09,Infection,030.9,LEPROSY NOS
Table 5.09,Infection,031.0,PULMONARY MYCOBACTERIA
Table 5.09,Infection,031.1,CUTANEOUS MYCOBACTERIA
Table 5.09,Infection,031.2,DMAC BACTEREMIA
Table 5.09,Infection,031.8,MYCOBACTERIAL DIS NEC
Table 5.09,Infection,031.9,MYCOBACTERIAL DIS NOS
Table 5.09,Infection,032.0,FAUCIAL DIPHTHERIA
Table 5.09,Infection,032.1,NASOPHARYNX DIPHTHERIA
Table 5.09,Infection,032.2,ANT NASAL DIPHTHERIA
Table 5.09,Infection,032.3,LARYNGEAL DIPHTHERIA
Table 5.09,Infection,032.81,CONJUNCTIVAL DIPHTHERIA
Table 5.09,Infection,032.82,DIPHTHERITIC MYOCARDITIS
Table 5.09,Infection,032.83,DIPHTHERITIC PERITONITIS
Table 5.09,Infection,032.84,DIPHTHERITIC CYSTITIS
Table 5.09,Infection,032.85,CUTANEOUS DIPHTHERIA
Table 5.09,Infection,032.89,DIPHTHERIA NEC
Table 5.09,Infection,032.9,DIPHTHERIA NOS
Table 5.09,Infection,033.0,BORDETELLA PERTUSSIS
Table 5.09,Infection,033.1,BORDETELLA PARAPERTUSSIS
Table 5.09,Infection,033.8,WHOOPING COUGH NEC
Table 5.09,Infection,033.9,WHOOPING COUGH NOS
Table 5.09,Infection,034.0,STREP SORE THROAT
Table 5.09,Infection,034.1,SCARLET FEVER
Table 5.09,Infection,035,ERYSIPELAS
Table 5.09,Infection,036.0,MENINGOCOCCAL MENINGITIS
Table 5.09,Infection,036.1,MENINGOCOCC ENCEPHALITIS
Table 5.09,Infection,036.2,MENINGOCOCCEMIA
Table 5.09,Infection,036.3,MENINGOCOCC ADRENAL SYND
Table 5.09,Infection,036.40,MENINGOCOCC CARDITIS NOS
Table 5.09,Infection,036.41,MENINGOCOCC PERICARDITIS
Table 5.09,Infection,036.42,MENINGOCOCC ENDOCARDITIS
Table 5.09,Infection,036.43,MENINGOCOCC MYOCARDITIS
Table 5.09,Infection,036.81,MENINGOCOCC OPTIC NEURIT
Table 5.09,Infection,036.82,MENINGOCOCC ARTHROPATHY
Table 5.09,Infection,036.89,MENINGOCOCCAL INFECT NEC
Table 5.09,Infection,036.9,MENINGOCOCCAL INFECT NOS
Table 5.09,Infection,037,TETANUS
Table 5.09,Infection,038.0,STREPTOCOCCAL SEPTICEMIA
Table 5.09,Infection,038.10,STAPHYLCOCC SEPTICEM NOS
Table 5.09,Infection,038.11,METH SUSC STAPH AUR SEPT
Table 5.09,Infection,038.12,MRSA SEPTICEMIA
Table 5.09,Infection,038.19,STAPHYLCOCC SEPTICEM NEC
Table 5.09,Infection,038.2,PNEUMOCOCCAL SEPTICEMIA
Table 5.09,Infection,038.3,ANAEROBIC SEPTICEMIA
Table 5.09,Infection,038.40,GRAM-NEG SEPTICEMIA NOS
Table 5.09,Infection,038.41,H. INFLUENAE SEPTICEMIA
Table 5.09,Infection,038.42,E COLI SEPTICEMIA
Table 5.09,Infection,038.43,PSEUDOMONAS SEPTICEMIA
Table 5.09,Infection,038.44,SERRATIA SEPTICEMIA
Table 5.09,Infection,038.49,GRAM-NEG SEPTICEMIA NEC
Table 5.09,Infection,038.8,SEPTICEMIA NEC
Table 5.09,Infection,038.9,SEPTICEMIA NOS
Table 5.09,Infection,039.0,CUTANEOUS ACTINOMYCOSIS
Table 5.09,Infection,039.1,PULMONARY ACTINOMYCOSIS
Table 5.09,Infection,039.2,ABDOMINAL ACTINOMYCOSIS
Table 5.09,Infection,039.3,CERVICOFAC ACTINOMYCOSIS
Table 5.09,Infection,039.4,MADURA FOOT
Table 5.09,Infection,039.8,ACTINOMYCOSIS NEC
Table 5.09,Infection,039.9,ACTINOMYCOSIS NOS
Table 5.09,Infection,040.0,GAS GANGRENE
Table 5.09,Infection,040.1,RHINOSCLEROMA
Table 5.09,Infection,040.2,WHIPPLE'S DISEASE
Table 5.09,Infection,040.3,NECROBACILLOSIS
Table 5.09,Infection,040.81,TROPICAL PYOMYOSITIS
Table 5.09,Infection,040.82,TOXIC SHOCK SYNDROME
